Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.027197802197802195						0.3	
AL353194.1	0.04532967032967032	250708						
RNF24	0.07252747252747252	124018						
LINC01433	0.0815934065934066	53489						
ADRA1D	0.07252747252747252	109498						
LINC01730	0.03626373626373626	331219						
CENPB	0.027197802197802195	352836						
HSPA12B	0.01813186813186813	406891						
AL356414.1	0.0815934065934066	64411						
AP5S1	0.03626373626373626	319052						
AL031670.1	0.05439560439560439	216176						
SPEF1	0.027197802197802195	358128						
SIGLEC1	0.01813186813186813	432448						
MAVS	0.04532967032967032	292777						
AL121781.1	0.03626373626373626	336062						
AL139350.1	0.04532967032967032	292097						
GFRA4	0.009065934065934065	476177						
C20orf27	0.027197802197802195	371189						
SMOX	0.2813186813186813	18596	0.9					intron_variant
ADAM33	0.009065934065934065	457330						
PANK2	0.04532967032967032	250737						
CDC25B	0.027197802197802195	352804						
