Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.027197802197802195	463657					0.2	
AL353194.1	0.03626373626373626	333711						
RNF24	0.05439560439560439	207021						
LINC01433	0.09065934065934064	29514						
ADRA1D	0.26318681318681314	26495	0.8					intron_variant
LINC01730	0.01813186813186813	414222						
PRNT	0.07252747252747252						0.8	
CENPB	0.01813186813186813	435839						
HSPA12B	0.009065934065934065	489894						
AL356414.1	0.07252747252747252	147414						
AP5S1	0.01813186813186813	402055						
AL031670.1	0.04532967032967032	299179						
SPEF1	0.01813186813186813	441131						
PRND	0.0815934065934066	499330					0.8	
MAVS	0.027197802197802195	375780						
AL121781.1	0.04532967032967032	253059						
AL139350.1	0.05439560439560439	209094						
C20orf27	0.009065934065934065	454192						
SMOX	0.07252747252747252	101599						
PANK2	0.03626373626373626	333740						
CDC25B	0.01813186813186813	435807						
