Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.01813186813186813	442520						
AL121890.3	0.0815934065934066	82480						
RASSF2	0.06346153846153846	305148					0.3	
PROKR2	0.06346153846153844	185613						
AL109935.2	0.027197802197802195	370360						
TMEM230	0.1994505494505494	15653	0.5				0.2	
AL121890.5	0.0815934065934066	67416						
AL121757.1	0.03626373626373626	317082						
LINC00654	0.027197802197802195	397850						
AL109935.1	0.01813186813186813	404872						
PRNT	0.03626373626373626	388088					0.1	
CDS2	0.25384615384615383	1877	0.4					splice_region_variant
GPCPD1	0.009065934065934065	482270						
SLC23A2	0.07252747252747252	118463						
AL121757.2	0.04532967032967032	278808						
AL121890.4	0.0815934065934066	60602						
AL133396.2	0.027197802197802195	367456						
PCNA	0.25384615384615383	2130	0.9					
AL121890.2	0.0815934065934066	78435						
PRND	0.027197802197802195	406847					0.1	
LINC00658	0.03626373626373626	342338						
LINC01729	0.027197802197802195	381246						
